race_id,driver_id,team_id,driver_start_position,driver_final_position,grid_result,driver_fastest_lap,points
1,1,1,7,6,-1,1:37.245,8
1,2,1,6,7,1,1:36.812,0
1,3,2,3,3,0,1:32.372,15
1,4,2,2,5,3,1:34.226,10
1,5,3,1,1,0,1:32.447,25
1,6,3,4,2,-2,1:32.389,18
1,7,4,5,4,-1,1:33.923,12
2,1,1,7,6,-1,1:38.528,3
2,2,1,6,5,-1,1:36.098,4
2,3,2,4,3,-1,1:34.880,6
2,4,2,1,4,3,1:35.061,5
2,5,3,3,2,-1,1:35.537,7
2,6,3,2,1,-1,1:34.979,8
2,7,4,5,7,2,1:37.851,0
3,1,1,6,7,1,1:40.632,0
3,2,1,7,5,-2,1:37.899,10
3,3,2,3,2,-1,1:36.691,18
3,4,2,2,3,1,1:35.542,15
3,5,3,1,1,0,1:36.086,25
3,6,3,4,4,0,1:36.021,12
3,7,4,5,6,1,1:36.992,8
4,1,1,7,7,0,1:33.381,0
4,2,1,6,5,-1,1:35.185,10
4,3,2,2,4,2,1:31.988,12
4,4,2,3,3,0,1:34.027,15
4,5,3,1,1,0,1:33.354,25
4,6,3,8,2,-6,1:33.236,18
4,7,4,5,8,3,1:35.493,0
4,8,5,4,6,2,1:33.628,8
4,9,5,9,9,0,9:99.999,0
5,1,1,9,9,0,1:32.614,0
5,2,1,10,10,0,1:33.351,0
5,3,2,4,3,-1,1:33.101,15
5,4,2,3,4,1,1:34.001,12
5,5,3,2,1,-1,1:32.022,25
5,6,3,1,2,1,1:31.695,18
5,7,4,7,7,0,1:34.245,0
5,8,5,5,5,0,1:32.197,10
5,9,5,8,8,0,1:32.460,0
5,10,4,6,6,0,1:33.471,8
6,1,1,10,9,-1,1:35.943,0
6,2,1,8,10,2,1:35.327,0
6,3,2,5,2,-3,1:34.129,18
6,4,2,7,8,1,1:34.841,0
6,5,3,3,4,1,1:31.545,12
6,6,3,4,3,-1,1:34.138,15
6,7,4,9,7,-2,1:35.169,0
6,8,5,2,5,3,1:33.532,10
6,9,5,6,6,0,1:32.804,8
6,10,4,1,1,0,1:32.861,25
7,1,1,7,6,-1,1:33.803,3
7,2,1,5,9,4,1:31.307,0
7,3,2,3,3,0,1:30.355,6
7,4,2,9,8,-1,1:31.168,0
7,5,3,6,5,-1,1:33.629,4
7,6,3,4,2,-2,1:29.441,7
7,7,4,8,10,2,1:32.793,0
7,8,5,2,4,2,1:31.676,5
7,9,5,10,7,-3,1:30.963,0
7,10,4,1,1,0,1:29.372,8
8,1,1,9,7,-2,1:33.004,0
8,2,1,8,5,-3,1:31.518,10
8,3,2,4,3,-1,1:30.651,15
8,4,2,6,10,4,1:31.234,0
8,5,3,2,9,7,1:30.308,0
8,6,3,10,2,-8,1:30.303,18
8,7,4,7,8,1,1:31.747,0
8,8,5,5,6,1,1:31.195,8
8,9,5,3,4,1,1:30.981,12
8,10,4,1,1,0,1:30.859,25
9,1,1,10,6,-4,1:19.530,8
9,2,1,8,8,0,1:19.983,0
9,3,2,2,2,0,1:18.433,18
9,4,2,9,9,0,1:20.480,0
9,5,3,4,4,0,1:18.587,12
9,6,3,6,7,1,1:19.524,0
9,7,4,7,10,3,1:19.926,0
9,8,5,3,3,0,1:19.711,15
9,9,5,5,5,0,1:19.963,10
9,10,4,1,1,0,1:18.386,25
10,1,1,7,10,3,9:99.999,0
10,2,1,5,8,3,1:15.446,0
10,3,2,2,2,0,1:13.813,18
10,4,2,6,5,-1,1:15.772,10
10,5,3,9,6,-3,1:15.038,8
10,6,3,3,3,0,1:13.173,15
10,7,4,10,9,-1,1:15.462,0
10,8,5,4,4,0,1:15.332,12
10,9,5,8,7,-1,1:14.794,0
10,10,4,1,1,0,1:13.202,25
11,1,1,9,9,0,1:19.235,0
11,2,1,7,4,-3,1:16.867,12
11,3,2,3,5,2,1:16.667,10
11,4,2,6,8,2,1:16.554,0
11,5,3,2,2,0,1:16.140,18
11,6,3,8,6,-2,1:18.114,8
11,7,4,5,3,-2,1:16.536,15
11,8,5,4,7,3,1:17.742,0
11,9,5,10,10,0,9:99.999,0
11,10,4,1,1,0,1:15.971,25
12,1,1,10,10,0,9:99.999,0
12,2,1,4,2,-2,1:16.624,18
12,3,2,10,10,0,9:99.999,0
12,4,2,5,3,-2,1:16.130,15
12,5,3,2,1,-1,1:13.945,25
12,6,3,10,10,0,9:99.999,0
12,7,4,3,5,2,1:16.254,10
12,8,5,10,10,0,9:99.999,0
12,9,5,10,10,0,9:99.999,0
12,10,4,1,4,3,1:13.970,12
13,1,1,10,10,0,9:99.999,0
13,2,1,7,4,-3,1:08.581,12
13,3,2,2,2,0,1:07.802,18
13,4,2,8,6,-2,1:09.271,8
13,5,3,1,3,2,1:07.557,15
13,6,3,4,5,1,1:07.859,10
13,7,4,5,8,3,1:08.864,0
13,8,5,6,7,1,1:09.165,0
13,9,5,10,10,0,9:99.999,0
13,10,4,3,1,-2,1:07.275,25
14,1,1,10,10,0,9:99.999,0
14,2,1,10,10,0,9:99.999,0
14,3,2,2,2,0,1:30.791,18
14,4,2,3,5,2,1:31.436,10
14,5,3,6,1,-5,1:30.530,25
14,6,3,7,3,-4,1:31.382,15
14,7,4,5,6,1,1:31.169,8
14,8,5,1,4,3,1:31.537,12
14,9,5,10,10,0,9:99.999,0
14,10,4,4,7,3,1:31.715,0
15,1,1,10,10,0,9:99.999,0
15,2,1,4,4,0,2:03.791,5
15,3,2,2,2,0,1:59.698,7
15,4,2,6,3,-3,2:02.842,6
15,5,3,1,1,0,1:59.432,8
15,6,3,10,10,0,9:99.999,0
15,7,4,3,5,2,2:04.203,4
15,8,5,5,6,1,2:01.323,3
15,9,5,10,10,0,9:99.999,0
15,10,4,10,10,0,9:99.999,0
16,1,1,10,10,0,9:99.999,0
16,2,1,6,3,-3,1:48.208,15
16,3,2,2,2,0,1:45.939,18
16,4,2,5,5,0,1:48.321,10
16,5,3,1,1,0,1:45.602,25
16,6,3,10,10,0,9:99.999,0
16,7,4,4,6,2,1:47.159,8
16,8,5,3,4,1,1:47.385,12
16,9,5,10,10,0,9:99.999,0
16,10,4,10,10,0,9:99.999,0
17,1,1,10,10,0,9:99.999,0
17,2,1,7,5,-2,1:19.841,10
17,3,2,3,4,1,1:18.354,12
17,4,2,4,6,2,1:19.037,8
17,5,3,1,1,0,1:17.886,25
17,6,3,10,10,0,9:99.999,0
17,7,4,6,7,1,1:19.856,0
17,8,5,2,3,1,1:18.667,15
17,9,5,10,10,0,9:99.999,0
17,10,4,5,2,-3,1:18.753,18
18,1,1,10,10,0,9:99.999,0
18,2,1,7,7,0,1:14.586,0
18,3,2,1,1,0,1:12.686,25
18,4,2,4,6,2,1:14.391,8
18,5,3,3,2,-1,1:13.173,18
18,6,3,10,10,0,9:99.999,0
18,7,4,5,5,0,1:13.560,10
18,8,5,2,4,2,1:13.409,12
18,9,5,10,10,0,9:99.999,0
18,10,4,6,3,-3,1:13.403,15
19,1,1,10,10,0,9:99.999,0
19,2,1,4,10,6,1:24.950,0
19,3,2,2,2,0,1:23.719,18
19,4,2,5,4,-1,1:24.099,12
19,5,3,1,1,0,1:22.280,25
19,6,3,6,5,-1,1:24.110,10
19,7,4,3,3,0,1:24.187,15
19,8,5,10,10,0,9:99.999,0
19,9,5,10,10,0,9:99.999,0
19,10,4,10,10,0,9:99.999,0
20,1,1,10,10,0,9:99.999,0
20,2,1,5,4,-1,1:43.252,12
20,3,2,4,5,1,1:43.412,10
20,4,2,2,6,4,1:44.915,8
20,5,3,1,1,0,1:44.090,25
20,6,3,6,3,-3,1:44.808,15
20,7,4,3,7,4,1:44.714,0
20,8,5,7,2,-5,1:44.700,18
20,9,5,10,10,0,9:99.999,0
20,10,4,10,10,0,9:99.999,0
21,1,1,10,10,0,9:99.999,0
21,2,1,4,5,1,1:31.618,10
21,3,2,2,1,-1,1:32.629,25
21,4,2,5,6,1,1:33.618,8
21,5,3,1,3,2,1:31.066,15
21,6,3,6,2,-4,1:33.508,18
21,7,4,3,4,1,1:31.916,12
21,8,5,10,10,0,9:99.999,0
21,9,5,10,10,0,9:99.999,0
21,10,4,10,10,0,9:99.999,0
22,1,1,10,10,0,9:99.999,0
22,2,1,6,3,-3,1:35.825,6
22,3,2,5,5,0,1:36.798,4
22,4,2,3,4,1,1:36.130,5
22,5,3,2,1,-1,1:34.837,8
22,6,3,4,6,2,1:36.307,3
22,7,4,1,2,1,1:34.429,7
22,8,5,10,10,0,9:99.999,0
22,9,5,10,10,0,9:99.999,0
22,10,4,10,10,0,9:99.999,0
23,1,1,10,10,0,9:99.999,0
23,2,1,4,4,0,1:37.172,12
23,3,2,10,10,0,9:99.999,0
23,4,2,3,2,-1,1:37.035,18
23,5,3,1,1,0,1:36.624,25
23,6,3,5,3,-2,1:38.675,15
23,7,4,2,5,3,1:37.034,10
23,8,5,10,10,0,9:99.999,0
23,9,5,10,10,0,9:99.999,0
23,10,4,10,10,0,9:99.999,0
24,1,1,10,10,0,9:99.999,0
24,2,1,4,5,1,1:18.405,10
24,3,2,3,2,-1,1:18.442,18
24,4,2,5,6,1,1:19.356,8
24,5,3,1,1,0,1:17.663,25
24,6,3,6,4,-2,1:18.400,12
24,7,4,2,3,1,1:17.894,15
24,8,5,10,10,0,9:99.999,0
24,9,5,10,10,0,9:99.999,0
24,10,4,10,10,0,9:99.999,0
25,1,1,6,7,1,1:11.736,0
25,2,1,4,2,-2,1:10.148,7
25,3,2,2,6,4,1:11.449,3
25,4,2,1,3,2,1:10.708,6
25,5,3,7,4,-3,1:11.153,5
25,6,3,5,5,0,1:12.195,4
25,7,4,3,1,-2,1:10.099,8
25,8,5,10,10,0,9:99.999,0
25,9,5,10,10,0,9:99.999,0
25,10,4,10,10,0,9:99.999,0
26,1,1,6,6,0,1:24.122,8
26,2,1,3,4,1,1:22.001,12
26,3,2,4,1,-3,1:20.950,25
26,4,2,5,2,-3,1:21.043,18
26,5,3,1,3,2,1:20.489,15
26,6,3,7,5,-2,1:21.855,10
26,7,4,2,7,5,1:22.360,0
26,8,5,10,10,0,9:99.999,0
26,9,5,10,10,0,9:99.999,0
26,10,4,10,10,0,9:99.999,0
27,1,1,10,10,0,9:99.999,0
27,2,1,5,1,-4,1:34.864,25
27,3,2,4,3,-1,1:34.291,15
27,4,2,3,5,2,1:36.121,10
27,5,3,2,2,0,1:34.728,18
27,6,3,10,10,0,9:99.999,0
27,7,4,1,4,3,1:35.456,12
27,8,5,10,10,0,9:99.999,0
27,9,5,10,10,0,9:99.999,0
27,10,4,10,10,0,9:99.999,0
28,1,1,10,10,0,9:99.999,0
28,2,1,3,4,1,1:24.873,5
28,3,2,2,2,0,1:24.260,7
28,4,2,5,5,0,1:25.197,4
28,5,3,4,1,-3,1:24.092,8
28,6,3,10,10,0,9:99.999,0
28,7,4,1,3,2,1:24.664,6
28,8,5,10,10,0,9:99.999,0
28,9,5,10,10,0,9:99.999,0
28,10,4,10,10,0,9:99.999,0
29,1,1,10,10,0,9:99.999,0
29,2,1,4,4,0,1:26.627,12
29,3,2,5,3,-2,1:26.600,15
29,4,2,3,5,2,1:27.459,10
29,5,3,1,1,0,1:25.986,25
29,6,3,10,10,0,9:99.999,0
29,7,4,2,2,0,1:26.247,18
29,8,5,10,10,0,9:99.999,0
29,9,5,10,10,0,9:99.999,0
29,10,4,10,10,0,9:99.999,0
30,1,1,10,10,0,9:99.999,0
30,2,1,5,5,0,1:27.695,10
30,3,2,3,2,-1,1:26.654,18
30,4,2,4,6,2,1:28.439,8
30,5,3,2,1,-1,1:26.941,25
30,6,3,6,4,-2,1:27.514,12
30,7,4,1,3,2,1:26.996,15
30,8,5,10,10,0,9:99.999,0
30,9,5,10,10,0,9:99.999,0
30,10,4,10,10,0,9:99.999,0
